ID,List Price,Duplex?,Bedrooms,Baths - Total,Baths - Full,Baths - Half,Stories,Subdivision,Square Footage,Year Built,Acreage,New Owned?,House Style,Covered Parking Spots,Misc Exterior,Has Pool?,Has Dock?,Fenced Yard,Screened Porch?,Amenities,Golf Course?,Fireplace?,Number of Fireplaces
167,"$477,771",Yes,3,3.5,3,1,2,Dunes West,2800,2016,0.09,Yes,Townhouse,2,Misc Exterior: Fence - Wooden Enclosed; Gutters; Lawn Irrigation; Porch - Full Front; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Lawn Maint Incl; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
176,"$497,562",Yes,3,3.5,3,1,2,Dunes West,2812,2016,0.09,Yes,Townhouse,2,Misc Exterior: Fence - Wooden Enclosed; Gutters; Lawn Irrigation; Porch - Full Front,No,No,Yes,No,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
64,"$975,000",No,4,4,4,0,3,Dunes West,4059,1993,1.2,No,Traditional,7,Misc Exterior: Deck; Elevator Shaft; Lawn Irrigation; Porch - Front Porch; Porch - Full Front; Workshop,No,No,No,No,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
66,"$925,000",No,4,3.5,3,1,2,Dunes West,5059,1992,1.37,No,Traditional,3,Misc Exterior: Deck; Gutters; Lawn Irrigation; Lawn Well; Pool - In Ground; Porch - Front Porch; Some Storm Wnd/Doors; Special Yard Lights,Yes,No,No,No,Amenities: Boat Ramp; Boat Storage; Club House; Club Membership Available; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,2
67,"$899,000",No,6,4.5,4,1,2,Dunes West,4167,1995,1,No,Traditional,3,Misc Exterior: Boatlift; Deck; Dock - Floating; Dock - Shared; Porch - Full Front,No,Yes,No,No,Amenities: Club House; Club Membership Available; Exercise Area; Gated Comm; Golf Membership Available; Neighborhood Pool; Play Park; Tennis Court,Yes,Yes,1
69,"$880,000",No,5,3.5,3,1,2,Dunes West,4301,2006,0.42,No,Traditional,5,Misc Exterior: Deck; Fence - Metal Enclosed; Lawn Irrigation; Patio; Patio - Covered; Porch - Front Porch; Porch - Full Front; Porch - Screened; Special Yard Lights; Thermal Windows/Doors,No,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
70,"$879,900",No,5,4,3,2,3,Dunes West,4433,2004,0.61,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Gutters; Lawn Irrigation; Patio; Pool - In Ground; Porch - Front Porch; Porch - Screened; Special Yard Lights,Yes,No,Yes,Yes,Amenities: Boat Ramp; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
72,"$875,000",No,5,4.5,4,1,2,Dunes West,3886,2006,0.49,No,Traditional,2,Misc Exterior: Fence - Metal Enclosed; Fence - Private; Gutters; Lawn Irrigation; Patio; Patio - Covered; Pool - In Ground; Special Yard Lights,Yes,No,Yes,No,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Walk/Jog Trails,Yes,Yes,1
73,"$875,000",No,5,5,4,2,2,Dunes West,3882,2008,0.51,No,Charleston Single,9,Misc Exterior: Deck; Patio,No,No,No,No,Amenities: Boat Ramp; Boat Storage; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
74,"$840,000",No,5,4.5,4,1,2,Dunes West,3927,2005,0.54,No,Traditional,2,Misc Exterior: Gutters; Lawn Irrigation; Patio; Porch - Front Porch; Porch - Screened; Special Yard Lights,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Bus Line; Cable TV Available; Club House; Club Membership Available; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
77,"$830,000",No,5,4,3,2,2,Dunes West,4363,1996,1.1,No,Traditional,3,Misc Exterior: Deck; Fence - Partial; Lawn Irrigation; Porch - Screened; Special Yard Lights,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
80,"$799,900",No,5,3.5,3,1,2,Dunes West,4197,2003,1.23,No,Traditional,3,Misc Exterior: Gutters; Lawn Irrigation; Lawn Well; Patio - Covered; Porch - Screened; Thermal Windows/Doors,No,No,No,Yes,Amenities:,No,Yes,1
81,"$795,000",No,5,4.5,4,1,3,Dunes West,4580,2004,0.48,No,Traditional,2,Misc Exterior: Deck; Porch - Front Porch; Porch - Screened; Some Thermal Wnd/Doors; Special Yard Lights,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Club House; Club Membership Available; Exercise Area; Extra Storage; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
85,"$756,500",No,4,3.5,3,1,2,Dunes West,3158,2008,0.32,No,Traditional,2,Misc Exterior: Deck; Fence - Wooden Enclosed; Lawn Irrigation; Patio; Patio - Covered; Porch - Full Front; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,2
87,"$750,000",No,5,5,5,0,3,Dunes West,4129,2012,0.22,No,Traditional,3,Misc Exterior: Fence - Partial; Lawn Irrigation; Porch - Front Porch; Porch - Screened; Thermal Windows/Doors,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
91,"$739,000",No,4,4,3,2,3,Dunes West,4078,2001,0.51,No,Colonial,2,Misc Exterior: Deck; Fence - Private; Fence - Wooden Enclosed; Gazebo; Gutters; Porch - Front Porch; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
92,"$735,000",No,6,5,5,0,3,Dunes West,4500,2004,0.34,No,Traditional,2,Misc Exterior: Deck; Gutters; Lawn Irrigation; Porch - Front Porch; Porch - Full Front; Porch - Screened; Thermal Windows/Doors,No,No,No,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Extra Storage; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; RV; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
93,"$735,000",No,5,3.5,3,1,3,Dunes West,3511,2009,0.35,No,Charleston Single,2,Misc Exterior: Deck; Gutters; Lawn Irrigation; Patio; Porch - Front Porch; Porch - Screened; Storm Windows; Thermal Windows/Doors,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
95,"$719,000",No,5,4.5,4,1,3,Dunes West,4064,2002,0.58,No,Colonial,2,Misc Exterior: Deck; Fence - Wooden Enclosed; Gutters; Lawn Irrigation; Pool - In Ground; Porch - Front Porch; Porch - Screened; Some Thermal Wnd/Doors,Yes,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
116,"$562,431",No,5,4.5,4,1,3,Dunes West,3241,2017,0.15,Yes,Traditional,2,Misc Exterior: Gutters; Lawn Irrigation; Porch - Front Porch; Porch - Screened,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
97,"$715,000",No,3,2.5,2,1,1,Dunes West,2905,1999,1.17,No,Traditional,3,Misc Exterior: Deck; Fence - Iron; Patio; Pool - In Ground; Porch - Front Porch; Porch - Screened,Yes,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
98,"$710,000",No,4,3.5,3,1,2,Dunes West,3089,2001,1,No,Traditional,2,Misc Exterior: Deck; Gutters; Lawn Irrigation; Porch - Full Front; Porch - Screened; Storm Doors; Thermal Windows/Doors,No,No,No,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Club Membership Available; Gated Comm; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
99,"$699,900",No,5,3.5,3,1,2,Dunes West,3753,2004,0.47,No,Colonial,3,Misc Exterior: Gutters; Lawn Irrigation; Porch - Front Porch; Porch - Screened; Special Yard Lights; Thermal Windows/Doors,No,No,No,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Dock Facilities; Gated Comm; Golf; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
100,"$698,980",No,5,4.5,4,1,2,Dunes West,4700,1997,1.1,No,Traditional,2,Misc Exterior: Porch - Screened,No,No,No,Yes,Amenities: Cable TV Available; Club House; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup,Yes,Yes,1
101,"$698,000",No,4,3.5,3,1,2,Dunes West,3218,1996,1.25,No,Traditional,2,Misc Exterior: Patio; Porch - Full Front,No,No,No,No,Amenities:,No,No,0
102,"$669,900",No,5,4.5,4,1,2,Dunes West,3365,1995,1.1,No,Traditional,2,Misc Exterior: Deck; Fence - Iron; Lawn Irrigation; Lawn Well; Patio; Pool - In Ground; Porch - Front Porch; Porch - Screened; Special Yard Lights,Yes,No,No,Yes,Amenities: Boat Storage; Club House; Club Membership Available; Extra Storage; Gated Comm; Golf; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
103,"$665,000",No,4,3.5,3,1,2,Dunes West,3424,1992,1.1,No,Traditional,2,Misc Exterior: Fence - Partial; Gutters; Lawn Irrigation; Pool - In Ground; Porch - Screened,Yes,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
104,"$655,000",No,6,5,5,0,3,Dunes West,3468,2013,0.3,No,Traditional,2,Misc Exterior: Fence - Metal Enclosed; Gutters; Lawn Irrigation; Porch - Full Front; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
105,"$650,000",No,4,2.5,2,1,2,Dunes West,3334,1992,1.2,No,Colonial,2,Misc Exterior: Deck; Thermal Windows/Doors,No,No,No,No,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
106,"$649,900",No,4,2.5,2,1,2,Dunes West,3442,1992,1,No,Traditional,2,Misc Exterior: Deck,No,No,No,No,Amenities: Club House; Club Membership Available; Gated Comm; Golf; Neighborhood Pool; Tennis Court,Yes,Yes,1
107,"$635,000",No,4,4,4,0,2,Dunes West,3674,2009,0.28,No,Traditional,2,Misc Exterior: Lawn Irrigation; Porch - Front Porch; Porch - Screened,No,No,No,Yes,Amenities: Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup,No,Yes,1
108,"$630,000",No,4,3.5,3,1,2,Dunes West,3278,2013,0.22,No,Traditional,2,Misc Exterior: Gutters; Lawn Irrigation; Lawn Well; Patio; Porch - Front Porch; Porch - Screened,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
109,"$617,500",No,4,3,3,0,2,Dunes West,3371,2003,0.24,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Lawn Irrigation; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
114,"$564,775",No,5,4.5,4,1,3,Dunes West,3783,2017,0.16,Yes,Traditional,2,Misc Exterior: Gutters; Lawn Irrigation; Porch - Front Porch; Porch - Full Front; Porch - Screened,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
111,"$604,000",No,5,4,4,0,2,Dunes West,3449,2007,0.44,No,Traditional,3,Misc Exterior: Deck; Lawn Irrigation; Porch - Front Porch; Porch - Full Front; Porch - Screened; Some Storm Wnd/Doors; Other (Use Remarks),No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club Membership Available; Exercise Area; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
112,"$585,000",No,4,3.5,3,1,2,Dunes West,2803,2000,1.11,No,Traditional,2,Misc Exterior: Deck; Gutters; Lawn Irrigation; Lawn Well; Porch - Front Porch; Porch - Screened,No,No,No,Yes,Amenities: Boat Ramp; Boat Storage; Club House; Club Membership Available; Exercise Area; Extra Storage; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Walk/Jog Trails,Yes,Yes,1
118,"$540,000",No,5,4,4,0,2,Dunes West,3171,2006,0.48,No,Traditional,2,Misc Exterior: Deck; Gutters; Porch - Front Porch; Porch - Full Front; Porch - Screened,No,No,No,Yes,Amenities: Cable TV Available; Club House; Club Membership Available; Gated Comm; Golf Membership Available; Tennis Court,Yes,Yes,1
119,"$529,000",No,4,2.5,2,1,2,Dunes West,2923,2006,0.27,No,Traditional,2,Misc Exterior: Porch - Screened,No,No,No,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; RV; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
